Season;Kolo;Datum;Domaci;Hoste;Score
season_15-16;10;31.10. 20:30;Getafe;Barcelona;0  :  2
season_15-16;10;31.10. 18:15;Valencia;Levante;3  :  0
season_15-16;10;31.10. 18:15;Villarreal;Sevilla;2  :  1
season_15-16;10;31.10. 16:00;Real Madrid;Las Palmas;3  :  1
season_15-16;10;30.10. 20:30;La Coruňa;Atl. Madrid;1  :  1
season_15-16;11;08.11. 20:30;Sevilla;Real Madrid;3  :  2
season_15-16;11;08.11. 18:15;Atl. Madrid;Gijon;1  :  0
season_15-16;11;08.11. 16:00;Barcelona;Villarreal;3  :  0
season_15-16;11;08.11. 12:00;Ath. Bilbao;Espanyol;2  :  1
season_15-16;11;07.11. 22:05;Malaga;Betis;0  :  1
season_15-16;11;07.11. 20:30;Eibar;Getafe ;3  :  1
season_15-16;11;07.11. 20:30;Vallecano ;Granada;2  :  1
season_15-16;11;07.11. 18:15;Levante;La Coruňa;1  :  1
season_15-16;11;07.11. 16:00;Celta Vigo;Valencia;1  :  5
season_15-16;11;06.11. 20:30;Las Palmas;Real Sociedad;2  :  0
season_15-16;12;23.11. 20:30;Getafe;Vallecano;1  :  1
season_15-16;12;22.11. 20:30;Betis;Atl. Madrid;0  :  1
season_15-16;12;22.11. 18:15;Granada;Ath. Bilbao;2  :  0
season_15-16;12;22.11. 16:00;Villarreal;Eibar ;1  :  1
season_15-16;12;22.11. 12:00;Gijon;Levante;0  :  3
season_15-16;12;21.11. 22:05;La Coruňa;Celta Vigo;2  :  0
season_15-16;12;21.11. 22:00;Valencia;Las Palmas;1  :  1
season_15-16;12;21.11. 20:30;Espanyol;Malaga;2  :  0
season_15-16;12;21.11. 18:15;Real Madrid ;Barcelona;0  :  4
season_15-16;12;21.11. 16:00;Real Sociedad;Sevilla;2  :  0
season_15-16;13;29.11. 20:30;Sevilla;Valencia ;1  :  0
season_15-16;13;29.11. 18:15;Vallecano;Ath. Bilbao ;0  :  3
season_15-16;13;29.11. 16:00;Eibar;Real Madrid;0  :  2
season_15-16;13;29.11. 12:00;Getafe;Villarreal;2  :  0
season_15-16;13;28.11. 22:05;Celta Vigo;Gijon;2  :  1
season_15-16;13;28.11. 22:00;Las Palmas;La Coruňa;0  :  2
season_15-16;13;28.11. 20:30;Malaga ;Granada;2  :  2
season_15-16;13;28.11. 18:15;Atl. Madrid;Espanyol;1  :  0
season_15-16;13;28.11. 16:00;Barcelona;Real Sociedad;4  :  0
season_15-16;13;27.11. 20:30;Levante ;Betis ;0  :  1
season_15-16;14;07.12. 20:30;Espanyol;Levante;1  :  1
season_15-16;14;06.12. 20:30;Ath. Bilbao ;Malaga;0  :  0
season_15-16;14;06.12. 18:15;Gijon;Las Palmas ;3  :  1
season_15-16;14;06.12. 16:00;Villarreal;Vallecano;2  :  1
season_15-16;14;06.12. 12:00;Real Sociedad;Eibar;2  :  1
season_15-16;14;05.12. 22:05;Betis;Celta Vigo ;1  :  1
season_15-16;14;05.12. 22:00;La Coruňa;Sevilla;1  :  1
season_15-16;14;05.12. 20:30;Valencia;Barcelona;1  :  1
season_15-16;14;05.12. 18:15;Granada;Atl. Madrid;0  :  2
season_15-16;14;05.12. 16:00;Real Madrid;Getafe;4  :  1
season_15-16;15;13.12. 20:30;Villarreal;Real Madrid;1  :  0
season_15-16;15;13.12. 18:15;Atl. Madrid;Ath. Bilbao;2  :  1
season_15-16;15;13.12. 16:00;Eibar ;Valencia ;1  :  1
season_15-16;15;13.12. 12:00;Vallecano;Malaga;1  :  2
season_15-16;15;12.12. 22:05;Las Palmas;Betis;1  :  0
season_15-16;15;12.12. 20:30;Sevilla;Gijon ;2  :  0
season_15-16;15;12.12. 18:15;Celta Vigo ;Espanyol;1  :  0
season_15-16;15;12.12. 18:15;Levante;Granada;1  :  2
season_15-16;15;12.12. 16:00;Barcelona;La Coruňa;2  :  2
season_15-16;15;11.12. 20:30;Getafe;Real Sociedad;1  :  1
season_15-16;16;17.02. 18:30;Gijon;Barcelona;1  :  3
season_15-16;16;20.12. 20:30;Malaga;Atl. Madrid ;1  :  0
season_15-16;16;20.12. 18:15;Ath. Bilbao;Levante;2  :  0
season_15-16;16;20.12. 18:15;Granada;Celta Vigo;0  :  2
season_15-16;16;20.12. 18:15;Real Sociedad;Villarreal;0  :  2
season_15-16;16;20.12. 16:00;Real Madrid;Vallecano ;10  :  2
season_15-16;16;19.12. 22:05;La Coruňa ;Eibar;2  :  0
season_15-16;16;19.12. 20:30;Betis;Sevilla;0  :  0
season_15-16;16;19.12. 18:15;Espanyol;Las Palmas;1  :  0
season_15-16;16;19.12. 16:00;Valencia;Getafe;2  :  2
season_15-16;17;31.12. 16:00;Villarreal;Valencia;1  :  0
season_15-16;17;30.12. 21:00;Las Palmas;Granada ;4  :  1
season_15-16;17;30.12. 20:30;Barcelona;Betis;4  :  0
season_15-16;17;30.12. 20:30;Celta Vigo;Ath. Bilbao;0  :  1
season_15-16;17;30.12. 20:30;Getafe;La Coruňa;0  :  0
season_15-16;17;30.12. 18:30;Eibar;Gijon;2  :  0
season_15-16;17;30.12. 18:15;Sevilla;Espanyol;2  :  0
season_15-16;17;30.12. 18:15;Vallecano;Atl. Madrid;0  :  2
season_15-16;17;30.12. 16:00;Levante;Malaga;0  :  1
season_15-16;17;30.12. 16:00;Real Madrid;Real Sociedad;3  :  1
season_15-16;18;04.01. 20:30;Gijon;Getafe;1  :  2
season_15-16;18;03.01. 20:30;Valencia;Real Madrid ;2  :  2
season_15-16;18;03.01. 18:15;Ath. Bilbao;Las Palmas;2  :  2
season_15-16;18;03.01. 18:15;La Coruňa;Villarreal;1  :  2
season_15-16;18;03.01. 16:00;Betis;Eibar;0  :  4
season_15-16;18;03.01. 16:00;Granada;Sevilla ;2  :  1
season_15-16;18;03.01. 12:00;Vallecano;Real Sociedad;2  :  2
season_15-16;18;02.01. 22:05;Malaga;Celta Vigo ;2  :  0
season_15-16;18;02.01. 20:30;Atl. Madrid;Levante;1  :  0
season_15-16;18;02.01. 16:00;Espanyol;Barcelona;0  :  0
season_15-16;19;10.01. 20:30;Celta Vigo;Atl. Madrid;0  :  2
season_15-16;19;10.01. 18:15;Eibar;Espanyol;2  :  1
season_15-16;19;10.01. 18:15;Las Palmas;Malaga;1  :  1
season_15-16;19;10.01. 16:00;Real Sociedad;Valencia;2  :  0
season_15-16;19;10.01. 12:00;Villarreal;Gijon;2  :  0
season_15-16;19;09.01. 22:05;Levante;Vallecano;2  :  1
season_15-16;19;09.01. 20:30;Real Madrid;La Coruňa;5  :  0
season_15-16;19;09.01. 18:15;Getafe;Betis;1  :  0
season_15-16;19;09.01. 18:15;Sevilla;Ath. Bilbao;2  :  0
season_15-16;19;09.01. 16:00;Barcelona;Granada;4  :  0
season_15-16;20;18.01. 20:30;Eibar;Granada;5  :  1
season_15-16;20;17.01. 20:30;Barcelona;Ath. Bilbao ;6  :  0
season_15-16;20;17.01. 18:15;Getafe;Espanyol;3  :  1
season_15-16;20;17.01. 18:15;Las Palmas;Atl. Madrid;0  :  3
season_15-16;20;17.01. 16:00;Real Madrid;Gijon;5  :  1
season_15-16;20;17.01. 12:00;Valencia;Vallecano;2  :  2
season_15-16;20;16.01. 22:05;Real Sociedad;La Coruňa;1  :  1
season_15-16;20;16.01. 20:30;Villarreal;Betis;0  :  0
season_15-16;20;16.01. 18:15;Celta Vigo;Levante;4  :  3
season_15-16;20;16.01. 16:00;Sevilla ;Malaga ;2  :  1
season_15-16;21;25.01. 20:30;Levante ;Las Palmas;3  :  2
season_15-16;21;24.01. 20:30;Betis;Real Madrid;1  :  1
season_15-16;21;24.01. 18:15;La Coruňa;Valencia;1  :  1
season_15-16;21;24.01. 16:00;Atl. Madrid;Sevilla ;0  :  0
season_15-16;21;24.01. 12:00;Ath. Bilbao;Eibar;5  :  2
season_15-16;21;23.01. 22:05;Vallecano;Celta Vigo;3  :  0
season_15-16;21;23.01. 20:30;Granada;Getafe;3  :  2
season_15-16;21;23.01. 18:15;Espanyol ;Villarreal;2  :  2
season_15-16;21;23.01. 16:00;Malaga;Barcelona;1  :  2
season_15-16;21;22.01. 20:30;Gijon;Real Sociedad;5  :  1
season_15-16;22;01.02. 20:30;La Coruňa;Vallecano;2  :  2
season_15-16;22;31.01. 20:30;Real Madrid;Espanyol;6  :  0
season_15-16;22;31.01. 18:15;Las Palmas;Celta Vigo ;2  :  1
season_15-16;22;31.01. 16:00;Valencia;Gijon;0  :  1
season_15-16;22;31.01. 12:00;Sevilla;Levante;3  :  1
season_15-16;22;30.01. 22:05;Real Sociedad;Betis;2  :  1
season_15-16;22;30.01. 20:30;Villarreal;Granada;1  :  0
season_15-16;22;30.01. 18:15;Eibar;Malaga;1  :  2
season_15-16;22;30.01. 18:15;Getafe ;Ath. Bilbao;0  :  1
season_15-16;22;30.01. 16:00;Barcelona;Atl. Madrid ;2  :  1
season_15-16;23;08.02. 20:30;Espanyol;Real Sociedad;0  :  5
season_15-16;23;07.02. 20:30;Granada;Real Madrid;1  :  2
season_15-16;23;07.02. 18:15;Celta Vigo;Sevilla ;1  :  1
season_15-16;23;07.02. 16:00;Betis;Valencia ;1  :  0
season_15-16;23;07.02. 12:00;Levante;Barcelona;0  :  2
season_15-16;23;06.02. 22:05;Gijon;La Coruňa;1  :  1
season_15-16;23;06.02. 20:30;Ath. Bilbao ;Villarreal ;0  :  0
season_15-16;23;06.02. 18:15;Vallecano;Las Palmas;2  :  0
season_15-16;23;06.02. 16:00;Atl. Madrid;Eibar;3  :  1
season_15-16;23;05.02. 20:30;Malaga;Getafe;3  :  0
season_15-16;24;14.02. 20:30;Barcelona;Celta Vigo;6  :  1
season_15-16;24;14.02. 18:15;Eibar;Levante;2  :  0
season_15-16;24;14.02. 18:15;Getafe;Atl. Madrid;0  :  1
season_15-16;24;14.02. 16:00;Sevilla;Las Palmas;2  :  0
season_15-16;24;14.02. 12:00;Real Sociedad;Granada;3  :  0
season_15-16;24;13.02. 22:05;La Coruňa;Betis;2  :  2
season_15-16;24;13.02. 20:30;Valencia;Espanyol;2  :  1
season_15-16;24;13.02. 18:15;Villarreal;Malaga;1  :  0
season_15-16;24;13.02. 16:00;Real Madrid ;Ath. Bilbao;4  :  2
season_15-16;24;12.02. 20:30;Gijon;Vallecano;2  :  2
season_15-16;25;21.02. 20:30;Atl. Madrid;Villarreal;0  :  0
season_15-16;25;21.02. 18:15;Ath. Bilbao;Real Sociedad;0  :  1
season_15-16;25;21.02. 18:15;Granada;Valencia;1  :  2
season_15-16;25;21.02. 16:00;Malaga;Real Madrid;1  :  1
season_15-16;25;21.02. 12:00;Vallecano;Sevilla;2  :  2
season_15-16;25;20.02. 22:05;Celta Vigo;Eibar;3  :  2
season_15-16;25;20.02. 20:30;Betis;Gijon;1  :  1
season_15-16;25;20.02. 18:15;Espanyol;La Coruňa;1  :  0
season_15-16;25;20.02. 16:00;Las Palmas;Barcelona;1  :  2
season_15-16;25;19.02. 20:30;Levante;Getafe;3  :  0
season_15-16;26;28.02. 20:30;Barcelona;Sevilla;2  :  1
season_15-16;26;28.02. 18:15;La Coruňa ;Granada;0  :  1
season_15-16;26;28.02. 16:00;Valencia;Ath. Bilbao;0  :  3
season_15-16;26;28.02. 12:00;Villarreal;Levante ;3  :  0
season_15-16;26;27.02. 22:05;Real Sociedad;Malaga;1  :  1
season_15-16;26;27.02. 20:30;Betis;Vallecano;2  :  2
season_15-16;26;27.02. 18:15;Getafe;Celta Vigo;0  :  1
season_15-16;26;27.02. 18:15;Gijon ;Espanyol;2  :  4
season_15-16;26;27.02. 16:00;Real Madrid;Atl. Madrid;0  :  1
season_15-16;26;26.02. 20:30;Eibar;Las Palmas;0  :  1
season_15-16;27;03.03. 21:00;Vallecano ;Barcelona;1  :  5
season_15-16;27;03.03. 20:30;Espanyol;Betis;0  :  3
season_15-16;27;03.03. 20:00;Granada;Gijon ;2  :  0
season_15-16;27;02.03. 21:00;Levante;Real Madrid;1  :  3
season_15-16;27;02.03. 20:00;Ath. Bilbao;La Coruňa;4  :  1
season_15-16;27;02.03. 20:00;Celta Vigo;Villarreal;0  :  0
season_15-16;27;02.03. 20:00;Malaga;Valencia;1  :  2
season_15-16;27;02.03. 20:00;Sevilla;Eibar ;1  :  0
season_15-16;27;01.03. 22:00;Las Palmas;Getafe ;4  :  0
season_15-16;27;01.03. 21:00;Atl. Madrid;Real Sociedad;3  :  0
season_15-16;28;07.03. 20:30;Espanyol ;Vallecano;2  :  1
season_15-16;28;06.03. 20:30;Valencia ;Atl. Madrid;1  :  3
season_15-16;28;06.03. 18:15;Gijon;Ath. Bilbao ;0  :  2
season_15-16;28;06.03. 18:15;Real Sociedad;Levante;1  :  1
season_15-16;28;06.03. 16:00;Eibar;Barcelona;0  :  4
season_15-16;28;06.03. 12:00;Betis ;Granada ;2  :  0
season_15-16;28;05.03. 22:05;La Coruňa;Malaga ;3  :  3
season_15-16;28;05.03. 20:30;Getafe;Sevilla;1  :  1
season_15-16;28;05.03. 18:15;Villarreal;Las Palmas;0  :  1
season_15-16;28;05.03. 16:00;Real Madrid;Celta Vigo;7  :  1
season_15-16;29;14.03. 20:30;Granada ;Espanyol;1  :  1
season_15-16;29;13.03. 20:30;Las Palmas;Real Madrid ;1  :  2
season_15-16;29;13.03. 18:15;Ath. Bilbao;Betis;3  :  1
season_15-16;29;13.03. 16:00;Sevilla ;Villarreal;4  :  2
season_15-16;29;13.03. 12:00;Levante;Valencia;1  :  0
season_15-16;29;12.03. 22:05;Vallecano;Eibar ;1  :  1
season_15-16;29;12.03. 20:30;Atl. Madrid;La Coruňa;3  :  0
season_15-16;29;12.03. 18:15;Celta Vigo;Real Sociedad;1  :  0
season_15-16;29;12.03. 16:00;Barcelona;Getafe;6  :  0
season_15-16;29;11.03. 20:30;Malaga;Gijon;1  :  0
season_15-16;30;20.03. 20:30;Real Madrid;Sevilla;4  :  0
season_15-16;30;20.03. 18:15;Valencia;Celta Vigo;0  :  2
season_15-16;30;20.03. 16:00;Villarreal;Barcelona;2  :  2
season_15-16;30;20.03. 12:00;Espanyol;Ath. Bilbao;2  :  1
season_15-16;30;19.03. 22:05;Betis;Malaga;0  :  1
season_15-16;30;19.03. 20:30;La Coruňa;Levante;2  :  1
season_15-16;30;19.03. 18:15;Granada ;Vallecano;2  :  2
season_15-16;30;19.03. 18:15;Real Sociedad;Las Palmas;0  :  1
season_15-16;30;19.03. 16:00;Gijon;Atl. Madrid;2  :  1
season_15-16;30;18.03. 20:30;Getafe;Eibar;1  :  1
season_15-16;31;04.04. 20:30;Levante ;Gijon;0  :  0
season_15-16;31;03.04. 20:30;Sevilla;Real Sociedad ;1  :  2
season_15-16;31;03.04. 18:15;Eibar;Villarreal;1  :  2
season_15-16;31;03.04. 16:00;Malaga;Espanyol;1  :  1
season_15-16;31;03.04. 12:00;Ath. Bilbao;Granada;1  :  1
season_15-16;31;02.04. 22:05;Celta Vigo;La Coruňa ;1  :  1
season_15-16;31;02.04. 20:30;Barcelona;Real Madrid ;1  :  2
season_15-16;31;02.04. 18:15;Las Palmas;Valencia;2  :  1
season_15-16;31;02.04. 16:00;Atl. Madrid;Betis;5  :  1
season_15-16;31;01.04. 20:30;Vallecano ;Getafe;2  :  0
season_15-16;32;11.04. 20:30;La Coruňa;Las Palmas;1  :  3
season_15-16;32;10.04. 20:30;Ath. Bilbao;Vallecano;1  :  0
season_15-16;32;10.04. 18:15;Villarreal;Getafe;2  :  0
season_15-16;32;10.04. 16:00;Valencia;Sevilla;2  :  1
season_15-16;32;10.04. 12:00;Gijon;Celta Vigo;0  :  1
season_15-16;32;09.04. 22:05;Betis;Levante;1  :  0
season_15-16;32;09.04. 20:30;Real Sociedad;Barcelona;1  :  0
season_15-16;32;09.04. 18:15;Espanyol;Atl. Madrid;1  :  3
season_15-16;32;09.04. 16:00;Real Madrid;Eibar;4  :  0
season_15-16;32;08.04. 20:30;Granada;Malaga;0  :  0
season_15-16;33;17.04. 20:30;Barcelona;Valencia;1  :  2
season_15-16;33;17.04. 18:15;Atl. Madrid;Granada;3  :  0
season_15-16;33;17.04. 18:15;Vallecano;Villarreal;2  :  1
season_15-16;33;17.04. 16:00;Sevilla;La Coruňa;1  :  1
season_15-16;33;17.04. 12:00;Malaga;Ath. Bilbao;0  :  1
season_15-16;33;16.04. 22:05;Celta Vigo;Betis;1  :  1
season_15-16;33;16.04. 20:30;Eibar;Real Sociedad;2  :  1
season_15-16;33;16.04. 18:15;Las Palmas;Gijon;1  :  1
season_15-16;33;16.04. 16:00;Getafe;Real Madrid;1  :  5
season_15-16;33;15.04. 20:30;Levante;Espanyol;2  :  1
season_15-16;34;21.04. 21:00;Granada;Levante ;5  :  1
season_15-16;34;21.04. 20:30;Real Sociedad;Getafe;1  :  2
season_15-16;34;20.04. 22:00;Real Madrid;Villarreal;3  :  0
season_15-16;34;20.04. 20:45;Ath. Bilbao;Atl. Madrid;0  :  1
season_15-16;34;20.04. 20:45;Gijon;Sevilla;2  :  1
season_15-16;34;20.04. 20:45;Malaga;Vallecano;1  :  1
season_15-16;34;20.04. 20:45;Valencia;Eibar;4  :  0
season_15-16;34;20.04. 20:00;La Coruňa;Barcelona;0  :  8
season_15-16;34;19.04. 21:00;Betis;Las Palmas ;1  :  0
season_15-16;34;19.04. 20:00;Espanyol;Celta Vigo;1  :  1
season_15-16;35;25.04. 20:30;Celta Vigo;Granada;2  :  1
season_15-16;35;24.04. 20:30;Villarreal;Real Sociedad;0  :  0
season_15-16;35;24.04. 18:15;Getafe;Valencia;2  :  2
season_15-16;35;24.04. 16:00;Sevilla;Betis;2  :  0
season_15-16;35;24.04. 12:00;Levante;Ath. Bilbao;2  :  2
season_15-16;35;23.04. 22:05;Eibar;La Coruňa;1  :  1
season_15-16;35;23.04. 20:30;Barcelona;Gijon ;6  :  0
season_15-16;35;23.04. 18:15;Atl. Madrid;Malaga;1  :  0
season_15-16;35;23.04. 16:00;Vallecano;Real Madrid;2  :  3
season_15-16;35;22.04. 21:00;Las Palmas;Espanyol;4  :  0
season_15-16;36;02.05. 20:30;Malaga;Levante;3  :  1
season_15-16;36;01.05. 20:30;Valencia;Villarreal;0  :  2
season_15-16;36;01.05. 18:15;La Coruňa ;Getafe;0  :  2
season_15-16;36;01.05. 16:00;Espanyol;Sevilla;1  :  0
season_15-16;36;01.05. 12:00;Ath. Bilbao;Celta Vigo ;2  :  1
season_15-16;36;30.04. 22:05;Granada;Las Palmas;3  :  2
season_15-16;36;30.04. 20:30;Betis ;Barcelona;0  :  2
season_15-16;36;30.04. 18:15;Atl. Madrid;Vallecano;1  :  0
season_15-16;36;30.04. 16:00;Real Sociedad;Real Madrid;0  :  1
season_15-16;36;29.04. 20:30;Gijon;Eibar;2  :  0
season_15-16;37;08.05. 17:00;Barcelona;Espanyol;5  :  0
season_15-16;37;08.05. 17:00;Celta Vigo;Malaga;1  :  0
season_15-16;37;08.05. 17:00;Eibar;Betis;1  :  1
season_15-16;37;08.05. 17:00;Getafe;Gijon ;1  :  1
season_15-16;37;08.05. 17:00;Las Palmas;Ath. Bilbao;0  :  0
season_15-16;37;08.05. 17:00;Levante;Atl. Madrid;2  :  1
season_15-16;37;08.05. 17:00;Real Madrid;Valencia ;3  :  2
season_15-16;37;08.05. 17:00;Real Sociedad ;Vallecano;2  :  1
season_15-16;37;08.05. 17:00;Sevilla;Granada;1  :  4
season_15-16;37;08.05. 17:00;Villarreal;La Coruňa;0  :  2
season_15-16;38;15.05. 19:30;Betis;Getafe ;2  :  1
season_15-16;38;15.05. 19:30;Gijon;Villarreal;2  :  0
season_15-16;38;15.05. 19:30;Vallecano;Levante;3  :  1
season_15-16;38;15.05. 19:00;Espanyol;Eibar;4  :  2
season_15-16;38;15.05. 12:00;Malaga;Las Palmas;4  :  1
season_15-16;38;14.05. 19:30;Ath. Bilbao ;Sevilla ;3  :  1
season_15-16;38;14.05. 19:30;Atl. Madrid;Celta Vigo;2  :  0
season_15-16;38;14.05. 17:00;Granada;Barcelona;0  :  3
season_15-16;38;14.05. 17:00;La Coruňa;Real Madrid;0  :  2
season_15-16;38;13.05. 20:30;Valencia;Real Sociedad;0  :  1
